ts,device,co,humidity,light,lpg,motion,smoke,temp
1.59451209438597E+09,b8:27:eb:bf:9d:51,0.004955938648391250,51.0,FALSE,0.00765082227055719,FALSE,0.02041127012241290,22.7
1.59451209473557E+09,00:0f:00:70:91:0a,0.0028400886071015700,76.0,FALSE,0.005114383400977070,FALSE,0.013274836704851500,19.700000762939500
1.59451209807357E+09,b8:27:eb:bf:9d:51,0.004976012340421660,50.9,FALSE,0.007673227406398090,FALSE,0.02047512557617820,22.6
1.59451209958915E+09,1c:bf:ce:15:ec:4d,0.004403026829699690,76.80000305175780,TRUE,0.007023337145877310,FALSE,0.018628225377018800,27.0
1.59451210176124E+09,b8:27:eb:bf:9d:51,0.004967363641908950,50.9,FALSE,0.007663577282372410,FALSE,0.020447620810233700,22.6
1.59451210446841E+09,1c:bf:ce:15:ec:4d,0.004391003954583360,77.9000015258789,TRUE,0.007009458543138700,FALSE,0.01858890754005080,27.0
1.59451210544886E+09,b8:27:eb:bf:9d:51,0.004976025118224170,50.9,FALSE,0.007673241660297750,FALSE,0.020475166204362200,22.6
1.59451210686908E+09,00:0f:00:70:91:0a,0.0029381156266604300,76.0,FALSE,0.005241481841731120,FALSE,0.013627521132019200,19.700000762939500
1.59451210827538E+09,1c:bf:ce:15:ec:4d,0.004345471359573250,77.9000015258789,TRUE,0.006956802377235560,FALSE,0.01843978190211680,27.0
1.59451210913669E+09,b8:27:eb:bf:9d:51,0.0049702557644185800,50.9,FALSE,0.0076668047981169300,FALSE,0.020456819607064100,22.6
1.59451211279852E+09,b8:27:eb:bf:9d:51,0.004960208655965960,50.9,FALSE,0.007655590313556340,FALSE,0.02042485815208520,22.6
1.59451211528854E+09,1c:bf:ce:15:ec:4d,0.00438304383734993,78.0,TRUE,0.007000264000767260,FALSE,0.018562862485791500,27.0
1.59451211649826E+09,b8:27:eb:bf:9d:51,0.004971644949355080,50.9,FALSE,0.007668354899155370,FALSE,0.020461237669931000,22.6
1.59451211909801E+09,1c:bf:ce:15:ec:4d,0.004451497630812580,78.0,TRUE,0.007079183500131400,FALSE,0.018786490564423500,27.0
1.59451212018493E+09,b8:27:eb:bf:9d:51,0.004964564518477900,50.9,FALSE,0.007660453055613290,FALSE,0.020438716650667400,22.6
1.59451212278573E+09,00:0f:00:70:91:0a,0.0029050147565559600,75.80000305175780,FALSE,0.005198697479294310,FALSE,0.013508733329556200,19.700000762939500
1.59451212387262E+09,b8:27:eb:bf:9d:51,0.004975983419764020,50.9,FALSE,0.0076731951447764900,FALSE,0.02047503362023220,22.6
1.59451212756019E+09,b8:27:eb:bf:9d:51,0.004960208655965960,50.9,FALSE,0.007655590313556340,FALSE,0.02042485815208520,22.6
1.59451212937415E+09,1c:bf:ce:15:ec:4d,0.004439322766059630,77.9000015258789,TRUE,0.007065171934738010,FALSE,0.01874677460984380,27.0
1.5945121312478E+09,b8:27:eb:bf:9d:51,0.004956119201656340,50.9,FALSE,0.0076510239057846400,FALSE,0.020411844733363100,22.6